Text,Date,Time,Draft,Facebook,Instagram,Picture Url 1,Picture Url 2,Picture Url 3,Picture Url 4,Picture Url 5,Picture Url 6,Picture Url 7,Picture Url 8,Picture Url 9,Picture Url 10,Alt text picture 1,Alt text picture 2,Alt text picture 3,Alt text picture 4,Alt text picture 5,Alt text picture 6,Alt text picture 7,Alt text picture 8,Alt text picture 9,Alt text picture 10,Facebook Post Type,Facebook Title,Instagram Post Type,Instagram Show Reel On Feed,First Comment Text,Video Thumbnail Url,Video Cover Frame
"A sprinkle of sparkly design ideas:
1. Holographic butterflies drifting across a foggy pastel sky.
2. Glittery stars orbiting a tiny cartoon moon.
3. Iridescent crystal cats lounging on clouds.
4. A floating castle made entirely of sequins.",2025-12-14,16:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"Wholesome and chaotic creature ideas:
1. Baby raccoon wearing heart-shaped sunglasses.
2. A hamster DJ spinning tiny neon records.
3. A loaf-shaped corgi surrounded by sparkles.
4. A frog knight with a daisy shield.",2025-12-14,20:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,REEL,,REEL,true,,,
"Soft, dreamy visuals to melt into:
1. Strawberry milk clouds drifting over a pink sunrise.
2. Bows floating like petals in the wind.
3. A sparkly diary key glowing with secrets.
4. Gentle pastel waves with tiny heart foam.",2025-12-15,15:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,STORY,,STORY,false,,,
"Hard-hitting visual ideas:
1. A steel rose with razor-blade petals.
2. Flames shaped like angel wings.
3. Neon snakes coiling around chrome lettering.
4. A wolf made of shattered glass and sparkles.",2025-12-15,19:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"Color-shifting, thought-bending concepts:
1. Liquid rainbow spirals melting into each other.
2. Shape clusters arranged like dream logic.
3. Floating glass polygons catching impossible light.
4. A soundwave turned into sculpted neon.",2025-12-16,17:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,REEL,,REEL,true,,,
"Hyper-detailed nature prompts:
1. A single dew drop reflecting an entire sunrise.
2. Dragonfly wings rendered like stained glass.
3. A rose blooming in slow-motion sparks.
4. Thunderclouds forming a giant sleeping cat.",2025-12-16,21:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,STORY,,STORY,false,,,
"Pure cartoon joy:
1. A banana with anxiety but really cute about it.
2. A skateboarding broccoli with sunglasses.
3. A star yelling encouragement at you.
4. A bubblegum explosion shaped like a smiley face.",2025-12-17,16:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"For lovers of the stars:
1. A cosmic jellyfish drifting through stardust.
2. Neon constellations shaped like animals.
3. A glowing astronaut with flowers sprouting from the helmet.
4. A star nursery swirling like cotton candy.",2025-12-17,20:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,REEL,,REEL,true,,,
"Cute to the max:
1. A cupcake cat with sprinkles for fur.
2. Sparkly cherries smiling at each other.
3. A star-shaped bunny holding a glowing wand.
4. A bubble tea cup with heart-shaped bubbles.",2025-12-18,15:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"Ideas based purely on vibes:
1. ""Soft rebellion"" in pink smoke and chrome.
2. ""Daydream runner"" in pastel motion streaks.
3. ""High-energy scribble storm"" in neon.
4. ""Quiet confidence"" in geometric gradients.",2025-12-18,19:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,STORY,,STORY,false,,,
"Pocket-sized magical concepts:
1. A tiny dragon sleeping in a teacup.
2. A castle perched on the back of a turtle.
3. A candle flame shaped like a phoenix.
4. A library floating above a pond.",2025-12-19,18:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"Bold surrealist ideas:
1. Heels made of liquid gold.
2. A crown melting into butterflies.
3. Sunglasses reflecting galaxies.
4. A roaring lion wearing lipstick.",2025-12-20,16:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,REEL,,REEL,true,,,
"Warm, calming visuals:
1. Steam forming tiny hearts over a teacup.
2. A window glowing with soft golden light.
3. Socks with animated faces hugging each other.
4. A fox curled up in a blanket of clouds.",2025-12-21,20:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"Metallic visual ideas:
1. A chrome heart reflecting neon city lights.
2. Robotic butterflies with shifting rainbow wings.
3. A mirrored tiger face splitting into shards.
4. Liquid metal letters dripping like honey.",2025-12-22,15:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
"For the fantasy lovers:
1. A glowing sword embedded in crystal.
2. A phoenix rising from swirling ink.
3. A deer with constellations in its antlers.
4. A waterfall flowing upward into the sky.",2025-12-23,19:30:00,true,true,true,,,,,,,,,,,,,,,,,,,,,POST,,POST,false,,,
